form_no,set_code,dm_code,running_number,reference_no,indent,item_in_taxonomy,item_in_taxonomy_en,parent_code,parent_code_operation,formating,data_type,symbol,financial_statement_type,fs_category,description_th,description_en,opposite_code_short,mandatory_mapping,zone_code,warning_mapping_msg_th,warning_mapping_msg_en,meaning_of_taxonomy,historical name
F2,111620,24,11,11,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น - สุทธิ,Investment In Debt Instruments Measured At Fair Value Through Other Comprehensive Income - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารหนี้ที่บริษัทถือไว้เพื่อรับชำระเงินต้นและดอกเบี้ยและถือไว้เผื่อขาย ที่ผ่าน SPPI test เท่านั้น,"Only the investments in debt instruments held to collect contractual cash flows arising from principal and interest and to sell, and must meet the conditions of SPPI test",,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อทั้งรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ยและถือไว้เผื่อขาย (Held to collect and sell) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น และถือไว้เผื่อขาย โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน ,
F2,111630,26,12,12,1,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,Investment In Debt Instruments Measured At Amortised Cost - Net,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารหนี้ที่บริษัทถือไว้เพื่อรับชำระเงินต้นและดอกเบี้ย ที่ผ่าน SPPI test เท่านั้น,"Only the investments in debt instruments held by the company to collect contractual cash flows arising from principal and interest, and must meet the conditions of SPPI test",,,,,,หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ย (Held to collect) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน ,
F2,111640,28,13,13,1,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,Investment In Equity Instruments Measured At Fair Value Through Profit Or Loss,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,
F2,111650,30,14,14,1,เงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,Investment In Equity Instruments Measured At Fair Value Through Other Comprehensive Income,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,เฉพาะเงินลงทุนในตราสารทุนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม,Only the investments in equity instruments held by the company that has no control and significant influence and joint control.,,,,,,หมายถึง เงินลงทุนในตราสารทุนซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่บริษัทไม่มีอำนาจในการควบคุม และไม่มีอิทธิพลอย่างเป็นสาระสำคัญ และไม่มีอำนาจควบคุมร่วม โดยบริษัทเลือกวัดมูลค่าเงินลงทุนในตราสารทุนดังกล่าวด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,
F2,111660,32,15,15,1,เงินลงทุนที่ไม่ได้วางเป็นประกัน,Uncollateralised Investment,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,"หมายถึง  เงินลงทุนที่บริษัทไม่ได้นำไปวางเป็นประกันสำหรับหนี้สินหรือหนี้สินที่อาจเกิดขึ้น ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน โดยแสดงมูลค่าสุทธิหลังจากบวกหรือหักการปรับมูลค่ายุติธรรม และ/หรือ ค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน

เงินลงทุนที่ไม่ได้วางเป็นประกัน ประกอบด้วยรายการดังต่อไปนี้
1. เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน หมายถึง เงินลงทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง ได้แก่
1.1 เงินลงทุนเพื่อค้า หมายถึง เงินลงทุนที่ได้มาโดยมีวัตถุประสงค์หลักเพื่อขายในอนาคตอันใกล้ หรือเงินลงทุนที่ถูกกำหนดให้เป็นส่วนหนึ่งของกลุ่มเครื่องมือทางการเงินซึ่งถูกบริหารเป็นกลุ่ม ณ วันที่รับรู้รายการเริ่มแรกและมีหลักฐานที่แสดงถึงรูปแบบของการทำกำไรระยะสั้นที่เกิดขึ้นจริงในปัจจุบันตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
1.2 เงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม หมายถึง เงินลงทุนที่บริษัทกำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน เนื่องจากช่วยขจัดหรือลดความไม่สอดคล้องอย่างมีนัยสำคัญในการวัดมูลค่าหรือการรับรู้รายการ (Accounting mismatch) ซึ่งอาจเกิดขึ้นจากการวัดมูลค่าสินทรัพย์หรือหนี้สิน หรือการรับรู้กำไรและขาดทุนจากรายการดังกล่าวด้วยเกณฑ์แตกต่างกันตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
1.3 เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน หมายถึง เงินลงทุนในตราสารหนี้และตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง ทั้งนี้ ไม่รวมถึงเงินลงทุนที่กำหนดไว้ในรายการ เงินลงทุนเพื่อค้า และเงินลงทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรม

2. เงินลงทุนตามวิธีมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น หมายถึง เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น และเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น ตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
3. เงินลงทุนตามวิธีราคาทุนตัดจำหน่าย หมายถึง เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย ตามที่กำหนดในมาตรฐานการรายงานทางการเงินที่เกี่ยวข้อง
",
F2,111670,34,16,16,1,เงินลงทุนที่วางเป็นประกัน,Investment Pledged As Collateral,111600,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,"หมายถึง เงินลงทุนที่บริษัทนำไปวางเป็นประกันสำหรับหนี้สินหรือหนี้สินที่อาจเกิดขึ้น รวมถึงเงินลงทุนที่ให้ยืมในธุรกรรมให้ยืมหลักทรัพย์ ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน เพื่อให้เป็นไปตามมาตรฐานการรายงานทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน และมาตรฐานการรายงานทางการเงิน ฉบับที่ 7 เรื่องการเปิดเผยข้อมูลสำหรับเครื่องมือทางการเงิน ซึ่งกำหนดให้เปิดเผยมูลค่าตามบัญชีของสินทรัพย์ทางการเงินที่บริษัทนำไปวางเป็นหลักประกันสำหรับหนี้สินหรือหนี้สินที่อาจเกิดขึ้น แยกต่างหากจากสินทรัพย์อื่น

เงินลงทุนที่วางเป็นประกัน ประกอบด้วยเลขอ้างอิงที่ 17 ถึง 18",
F2,111671,36,17,17,2,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,Investment Pledged As Collateral That Cannot Be Sold Or Repledged By The Transferee,111670,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง เงินลงทุนที่ต้องจัดประเภทรายการใหม่แยกจากสินทรัพย์อื่นซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน เนื่องจากคู่สัญญา (ผู้รับโอนสินทรัพย์) ไม่มีสิทธิในการนำสินทรัพย์ดังกล่าวไปขายหรือวางเป็นหลักประกันอีกทอดหนึ่ง,
F2,111672,38,18,18,2,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,Investment Pledged As Collateral That Can Be Sold Or Repledged By The Transferee,111670,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง เงินลงทุนที่ต้องจัดประเภทรายการใหม่แยกจากสินทรัพย์อื่นซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือน เนื่องจากคู่สัญญา (ผู้รับโอนสินทรัพย์) มีสิทธิในการนำสินทรัพย์ดังกล่าวไปขายหรือวางเป็นหลักประกันอีกทอดหนึ่ง,
F2,112000,44,19,19,0,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,Current Portion Of Trade And Loan Receivables - Net,119999,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ เป็นรายการสุทธิของเลขอ้างอิงที่ 20 ถึง 21,
F2,112040,51,20,20,1,ลูกหนี้การค้า,Trade Receivables,112000,1,,N,23,BS_A,สินทรัพย์หมุนเวียน,,,,,,,,หมายถึง สิทธิของบริษัทโดยปราศจากเงื่อนไขที่มีต่อสิ่งตอบแทนยกเว้นเงื่อนไขการจ่ายชำระสิ่งตอบแทนที่เป็นไปตามกำหนดเวลาที่ผ่านไป เช่น เงินที่ลูกค้าค้างชำระค่าสินค้าหรือค่าบริการที่บริษัทได้ส่งมอบสินค้าหรือให้บริการเสร็จสิ้นแล้ว เหลือเพียงแต่ระยะเวลาการจ่ายชำระตามกำหนดเวลาสินเชื่อ (Credit term) เท่านั้น รวมทั้งลูกหนี้ตามตั๋วเงินรับอันเกิดจากค่าสินค้าหรือบริการดังกล่าว ซึ่งบริษัทคาดว่าจะได้รับชำระภายในรอบระยะเวลาดำเนินงานตามปกติของบริษัท หรือถึงกำหนดรับชำระภายใน 12 เดือนนับจากวันสิ้นรอบระยะเวลารายงาน,
