,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
22,"หุ้นที่ออกและเรียกชำระเต็มมูลค่าแล้ว 1,902,913,766 หุ้น",310220,ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว,"The input mentions ordinary shares issued and fully paid. It matches the definition of 'ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว' in the taxonomy list, which refers to ordinary shares that have been issued and paid up.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[951456883, 951456883]"
23,สำรองตามกฎหมาย,310611,สำรองตามกฎหมาย,"The query 'สำรองตามกฎหมาย' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field matches the input metadata 'ส่วนของผู้ถือหุ้น'.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[18811235, 18811235]"
24,สำรองทั่วไป,310619,กำไรสะสม - จัดสรรแล้ว สำรองอื่น ๆ,"The input name 'สำรองทั่วไป' is a general reserve, and the input metadata specifies 'fs_category' as 'ส่วนของผู้ถือหุ้น'. In the provided taxonomy list, the closest match is 'กำไรสะสม - จัดสรรแล้ว สำรองอื่น ๆ' (Retained Earnings - Appropriated Other Reserves) with set code '310619', which aligns with the input metadata and the general definition of a general reserve.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[6000000, 6000000]"
25,ยังไม่ได้จัดสรร,310620,กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,"The input query ""ยังไม่ได้จัดสรร"" is found in the item_in_taxonomy ""กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร"" and meaning_of_taxonomy ""กำไรหรือขาดทุน สะสม - ยังไม่ได้จัดสรร บางครั้งใช้ขื่อว่า -ยังไม่ได้จัดสรร หมายถึง กำไร (ขาดทุน) สะสมเมื่อสิ้นรอบระยะเวลารายงาน ที่คงเหลือหลังจากหักจำนวนที่ได้มีการจัดสรรแล้ว"" in the Taxonomy list. The fs_category of this item is ""ส่วนของผู้ถือหุ้น"", which is related to the input metadata fs_category ""ส่วนของผู้ถือหุ้น"".",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[-914965585, -874795425]"
26,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น - สุทธิ,319990,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น องค์ประกอบอื่นของส่วนของผู้ถือหุ้น - อื่นๆ,"The input item's name 'องค์ประกอบอื่นของส่วนของผู้ถือหุ้น - สุทธิ' is similar to the item in taxonomy 'องค์ประกอบอื่นของส่วนของผู้ถือหุ้น องค์ประกอบอื่นของส่วนของผู้ถือหุ้น - อื่นๆ' and both have the same fs_category 'ส่วนของผู้ถือหุ้น'. Thus, the model predicts SET code as '319990' and item in taxonomy as 'องค์ประกอบอื่นของส่วนของผู้ถือหุ้น องค์ประกอบอื่นของส่วนของผู้ถือหุ้น - อื่นๆ'.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[71588763, 70503257]"
27,เงินสดและรายการเทียบเท่าเงินสด11,100100,เงินสดและรายการเทียบเท่าเงินสด,The input query 'เงินสดและรายการเทียบเท่าเงินสด11' directly matches the item 'เงินสดและรายการเทียบเท่าเงินสด' in the taxonomy list.  The input metadata also specifies that the financial_statement_type is 'งบฐานะการเงิน' which corresponds to 'BS_A' and fs_category is 'สินทรัพย์' which is also a match.,งบฐานะการเงิน,สินทรัพย์,"[44326525, 119689561]"
28,เบี้ยประกันภัยค้างรับ12,101200,เบี้ยประกันภัยค้างรับ - สุทธิ,"The query mentions ""เบี้ยประกันภัยค้างรับ"" which closely matches the item ""เบี้ยประกันภัยค้างรับ - สุทธิ"" in the provided taxonomy list.  Also, financial_statement_type and fs_category from INPUT METADATA match the taxonomy list. Therefore, the selected SET Code and Item in Taxonomy are a potential match.",งบฐานะการเงิน,สินทรัพย์,"[111949346, 209845097]"
29,สินทรัพย์จากการประกันภัยต่อ13,101400,สินทรัพย์จากการประกันภัยต่อ - สุทธิ,"The query mentions ""สินทรัพย์"" (assets) and ""ประกันภัยต่อ"" (reinsurance), suggesting it refers to assets related to reinsurance. The closest match in the taxonomy list is ""สินทรัพย์จากการประกันภัยต่อ - สุทธิ"" (Reinsurance Assets - Net) with SET Code 101400. The additional ""13"" in the query might be an irrelevant detail or an account code.",งบฐานะการเงิน,สินทรัพย์,"[612145230, 578134575]"
30,ลูกหนี้จากสัญญาประกันภัยต่อ14,101500,ลูกหนี้จากสัญญาประกันภัยต่อ,"The query 'ลูกหนี้จากสัญญาประกันภัยต่อ14' is similar to the 'item_in_taxonomy' of 'ลูกหนี้จากสัญญาประกันภัยต่อ' in the taxonomy list, and the  'fs_category' matched the input metadata 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[131513565, 90192615]"
31,สินทรัพย์ทางการเงินตราสารหนี้15,101911,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารหนี้,"The input query 'สินทรัพย์ทางการเงินตราสารหนี้' directly translates to Debt Securities, and the provided financial statement type is 'งบฐานะการเงิน' which corresponds to 'BS_A'. Therefore, the most relevant item in the taxonomy is 'เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารหนี้' with SET Code '101911'.",งบฐานะการเงิน,สินทรัพย์,"[213370969, 243370451]"
32,สินทรัพย์ทางการเงินตราสารทุน16,101912,เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารทุน,"The INPUT 'สินทรัพย์ทางการเงินตราสารทุน16' is similar to other items in the Taxonomy list with 'สินทรัพย์ทางการเงินตราสารทุน' and financial_statement_type is 'งบฐานะการเงิน' and fs_category is 'สินทรัพย์'.  Therefore, the most relevant item from the Taxonomy list is 'เงินลงทุนในหลักทรัพย์ สินทรัพย์ทางการเงินตราสารทุน' with SET Code '101912'.",งบฐานะการเงิน,สินทรัพย์,"[376867526, 246509972]"
33,เงินให้กู้ยืม17,102500,เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม,The INPUT 'เงินให้กู้ยืม17' is potentially mapped to 'เงินให้กู้ยืมและดอกเบี้ยค้างรับ เงินให้กู้ยืม' based on the closest lexical similarity and the fs_category matching with the INPUT METADATA. ,งบฐานะการเงิน,สินทรัพย์,"[87300000, 49800000]"
34,ที่ดิน อาคาร และอุปกรณ์18,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input 'ที่ดิน อาคาร และอุปกรณ์' clearly matches the 'item_in_taxonomy' of 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list.  Also, the input metadata specifies 'financial_statement_type' is 'งบฐานะการเงิน' which corresponds to 'BS_A' and 'fs_category' is 'สินทรัพย์' which is also a match in the taxonomy. Therefore, the most appropriate mapping is to 'set_code' '103800' and 'item_in_taxonomy' 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[87846202, 89910398]"
35,สินทรัพย์สิทธิการใช้19,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query mentions ""สินทรัพย์สิทธิการใช้"" which directly corresponds to multiple  ""สินทรัพย์สิทธิการใช้ - สุทธิ"" items in the taxonomy list.  The presence of ""19"" does not affect the mapping. Therefore, the most relevant match is ""สินทรัพย์สิทธิการใช้ - สุทธิ"" with SET Code 103900.",งบฐานะการเงิน,สินทรัพย์,"[34929881, 37928430]"
36,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี23,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,INPUT METADATA states that fs_category is สินทรัพย์ and financial_statement_type is งบฐานะการเงิน.  The Item in Taxonomy สินทรัพย์ภาษีเงินได้รอตัดบัญชี has fs_category  as สินทรัพย์ and  financial_statement_type as BS_A which is the  closest match in the provided Taxonomy list.,งบฐานะการเงิน,สินทรัพย์,"[38142315, 38149322]"
37,สินทรัพย์อื่น20,109900,สินทรัพย์อื่น - สุทธิ,"The INPUT 'สินทรัพย์อื่น20' is in the category of 'สินทรัพย์' based on the INPUT METADATA. 
              The most relevant item from the Taxonomy list is 'สินทรัพย์อื่น - สุทธิ' with SET Code '109900'.",งบฐานะการเงิน,สินทรัพย์,"[24802883, 20320561]"
38,หนี้สินจากสัญญาประกันภัย21,201200,หนี้สินจากสัญญาประกันภัย,"The query 'หนี้สินจากสัญญาประกันภัย21' is almost an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  The presence of '21' at the end doesn't negate the match.  Therefore, the most relevant 'set_code' is '201200'.",งบฐานะการเงิน,หนี้สิน,"[1104531491, 1015460073]"
39,เจ้าหนี้บริษัทประกันภัยต่อ22,201400,เจ้าหนี้บริษัทประกันภัยต่อ,"The input 'เจ้าหนี้บริษัทประกันภัยต่อ22' is similar to the item 'เจ้าหนี้บริษัทประกันภัยต่อ' in the Taxonomy list, and the fs_category matched the input metadata.",งบฐานะการเงิน,หนี้สิน,"[432201905, 393731233]"
40,หนี้สินภาษีเงินได้รอการตัดบัญชี23,203200,หนี้สินภาษีเงินได้รอตัดบัญชี,The query 'หนี้สินภาษีเงินได้รอการตัดบัญชี23' is mapped to 'หนี้สินภาษีเงินได้รอตัดบัญชี' based on the closest match of the input query from the Taxonomy List.  The financial_statement_type is 'BS_L' and fs_category is 'หนี้สิน' which is aligned with the input metadata.,งบฐานะการเงิน,หนี้สิน,"[17897191, 17625815]"
41,หนี้สินอื่น24,209900,หนี้สินอื่น,"The financial report line item name  'หนี้สินอื่น24' is related to 'หนี้สิน' based on the input metadata. Thus, the correct Item in Taxonomy should be 'หนี้สินอื่น' with SET Code '209900'.",งบฐานะการเงิน,หนี้สิน,"[63118717, 98716010]"
42,"ทุนเรือนหุ้น - หุ้นสามัญ มูลค่าหุ้นละ 0.50 บาททุนจดทะเบียน 1,902,913,766 หุ้นหุ้นที่ออกและเรียกชำระเต็มมูลค่าแล้ว 1,902,913,766 หุ้น",310220,ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว,"From the INPUT ทุนเรือนหุ้น - หุ้นสามัญ มูลค่าหุ้นละ 0.50 บาททุนจดทะเบียน 1,902,913,766 หุ้นหุ้นที่ออกและเรียกชำระเต็มมูลค่าแล้ว 1,902,913,766 หุ้น, it mentioned about issued and paid-up share. Thus, the selected taxonomy is ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว with SET Code 310220.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[951456883, 951456883]"
43,สำรองตามกฎหมาย25,310611,กำไรสะสม - จัดสรรแล้ว สำรองตามกฎหมาย,Searched item in taxonomy where fs_category is ส่วนของผู้ถือหุ้น and financial_statement_type is BS_OE. Found item สำรองตามกฎหมาย with set code 310611,งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[18811235, 18811235]"
44,ขาดทุนสะสม- ยังไม่ได้จัดสรร,310620,กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,"The input 'ขาดทุนสะสม- ยังไม่ได้จัดสรร' matches the meaning of 'กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร' in the taxonomy list, and the financial_statement_type and fs_category also match.",งบฐานะการเงิน,ส่วนของผู้ถือหุ้น,"[-914965585, -874795425]"
45,เบี้ยประกันภัยรับ,410126,เบี้ยประกันภัยรับ,"The input query 'เบี้ยประกันภัยรับ' directly matches with 'item_in_taxonomy' in the Taxonomy list. Also, the fs_category of both input and matched taxonomy item is 'รายได้' or 'กำไรขาดทุน'.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[239756532.0, 217843839]"
46,เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,420200,หัก เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ,"The query 'เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ' matches the item 'หัก เบี้ยประกันภัยจ่ายจากการเอาประกันภัยต่อ' in the taxonomy list. Although the fs_category does not match รายได้, we select this based on the closest lexical match and instruction provided.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[-116878490.0, -127969826]"
47,เบี้ยประกันภัยรับสุทธิ,400299,เบี้ยประกันภัยรับสุทธิ,"The query 'เบี้ยประกันภัยรับสุทธิ' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  Also, the  fs_category in the Taxonomy list matched the fs_category from the input metadata.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[122878042.0, 89874013]"
48,สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่มขึ้น,420300,หัก สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่ม (ลด) จากงวดก่อน,"The query mentions 'สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้' which directly corresponds to the item 'หัก สำรองเบี้ยประกันภัยที่ยังไม่ถือเป็นรายได้เพิ่ม (ลด) จากงวดก่อน' in the taxonomy. Although the input's fs_category is รายได้,  we will use item_in_taxonomy instead as instructed.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[69436388.0, 7310046]"
49,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,400399,เบี้ยประกันภัยที่ถือเป็นรายได้สุทธิจากการประกันภัยต่อ,The query matches exactly with 'item_in_taxonomy' from the Taxonomy list. And the  fs_category from the Taxonomy list is 'กำไรขาดทุน' which is related to รายได้ from the INPUT METADATA.,งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[192314430.0, 97184059]"
50,รายได้ค่าจ้างและค่าบำเหน็จ,410127,รายได้ค่าจ้างและค่าบำเหน็จ,The query 'รายได้ค่าจ้างและค่าบำเหน็จ' matched with item_in_taxonomy 'รายได้ค่าจ้างและค่าบำเหน็จ' in the Taxonomy list. And the fs_category is 'กำไรขาดทุน' which is related to the รายได้ in INPUT METADATA.,งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[31936960.0, 42259316]"
51,รายได้จากการลงทุน,410128,รายได้จากการลงทุนสุทธิ,"The query 'รายได้จากการลงทุน' is related to investment income, and the input metadata specifies 'fs_category' as 'รายได้'. Within the provided taxonomy list, the item 'รายได้จากการลงทุนสุทธิ' with 'set_code' '410128' aligns with the query and input metadata.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[5136994.0, 3513248]"
52,ขาดทุนจากเครื่องมือทางการเงิน,431610,ผลกำไร (ขาดทุน) จากการลงทุน กำไร (ขาดทุน) อื่นจากเครื่องมือทางการเงิน,"The closest match from the provided taxonomy list is  'ผลกำไร (ขาดทุน) จากการลงทุน กำไร (ขาดทุน) อื่นจากเครื่องมือทางการเงิน' with SET Code '431610', as it refers to gains or losses from financial instruments.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[-20147.0, -1669749]"
53,ขาดทุนจากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน,431620,ผลกำไร (ขาดทุน) จากการลงทุน กำไร (ขาดทุน) จากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน,"The most relevant item from the taxonomy list is ""ผลกำไร (ขาดทุน) จากการลงทุน กำไร (ขาดทุน) จากการปรับมูลค่ายุติธรรมของเครื่องมือทางการเงิน"" with SET Code 431620 as its meaning closely resembles the input query. Although no item's fs_category directly relates to ""รายได้,"" this item's meaning aligns best with the input, focusing on fair value adjustments of financial instruments.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[-6965279.0, -5491544]"
54,รายได้อื่น,410200,รายได้อื่น,The input item name 'รายได้อื่น' is directly matched to the item in taxonomy 'รายได้อื่น' with the fs_category 'กำไรขาดทุน' which is related to the input metadata fs_category 'รายได้'.,งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[1137326.0, 2115580]"
55,รวมรายได้,410200,รายได้อื่น,"The closest match from the provided taxonomy list is รายได้อื่น, as the input query's fs_category is รายได้ and the input query's financial_statement_type is งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,รายได้,"[223540284.0, 137910910]"
56,ค่าสินไหมทดแทน,420900,ผลประโยชน์จ่ายตามกรมธรรม์ประกันภัยและค่าสินไหมทดแทน,"From the Taxonomy list, the meaning_of_taxonomy provided describes ค่าสินไหมทดแทน. Thus, the appropriate set_code is 420900 and item_in_taxonomy is ผลประโยชน์จ่ายตามกรมธรรม์ประกันภัยและค่าสินไหมทดแทน.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,ค่าใช้จ่าย,"[166561678.0, 114817426]"
57,หัก ค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,421000,หัก ผลประโยชน์จ่ายตามกรมธรรม์ประกันภัยและค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ,"The meaning in Taxonomy ""บางครั้งใช้ขื่อว่า หักค่าสินไหมทดแทนรับคืนจากการประกันภัยต่อ หมายถึง เงินที่ต้องจ่ายตามเงื่อนไขกรมธรรม์ประกันภัย และจำนวนเงินค่าสินไหมทดแทนที่เกิดขึ้นในรอบระยะเวลาบัญชีปัจจุบันซึ่งได้ชำระไปแล้วและยังมิได้ชำระ รวมทั้งจำนวนที่คาดว่าจะต้องจ่ายและจำนวนเงินที่จ่ายสำหรับการประเมินและจัดการค่าสินไหมทดแทนที่ได้รับคืนจากการประกันภัยต่อ"" is semantically similar to the query, and its financial_statement_type is 'PL' which is the same as in the input metadata.",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน,ค่าใช้จ่าย,"[-83218601.0, -56846468]"
